City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,Bethel,41.3712,-73.414,61.0,20,1,5.75,US,2021-03-22 17:35:12
260,Laguna,38.421,-121.4238,55.0,66,90,9.22,US,2021-03-22 17:32:36
261,Beipiao,41.7919,120.7792,43.16,27,1,6.4,CN,2021-03-22 17:35:13
262,Pincher Creek,49.4833,-113.952,41.0,41,1,23.02,CA,2021-03-22 17:35:13
263,Bentiu,9.2333,29.8333,87.87,40,84,3.6,SS,2021-03-22 17:35:13
264,Nouadhibou,20.931,-17.0347,68.0,68,0,18.41,MR,2021-03-22 17:35:14
265,Tuatapere,-46.1333,167.6833,53.01,97,100,3.0,NZ,2021-03-22 17:35:14
266,Necochea,-38.5473,-58.7368,73.0,30,14,8.99,AR,2021-03-22 17:35:14
267,Saint Anthony,45.0205,-93.218,55.99,57,1,3.15,US,2021-03-22 17:35:15
268,Cedeno,7.0464,-72.1634,88.43,48,93,2.71,CO,2021-03-22 17:35:15
269,Souillac,-20.5167,57.5167,78.8,89,40,3.44,MU,2021-03-22 17:35:15
270,Atar,20.5169,-13.0499,90.23,7,0,11.88,MR,2021-03-22 17:35:16
271,Landazuri,6.2183,-73.8112,76.57,76,87,3.94,CO,2021-03-22 17:35:16
272,Coihaique,-45.5752,-72.0662,62.6,55,40,12.66,CL,2021-03-22 17:35:16
273,Sidhauli,27.2833,80.8333,82.4,47,40,4.61,IN,2021-03-22 17:35:16
274,Bull Savanna,17.8868,-77.5902,79.41,65,3,8.81,JM,2021-03-22 17:35:17
275,Vila Velha,-20.3297,-40.2925,88.0,66,40,11.5,BR,2021-03-22 17:35:17
276,Port-Gentil,-0.7193,8.7815,78.8,89,40,9.22,GA,2021-03-22 17:35:17
277,Mahebourg,-20.4081,57.7,78.8,89,40,3.44,MU,2021-03-22 17:35:18
278,Miles City,46.4083,-105.8406,42.8,52,90,4.61,US,2021-03-22 17:35:18
279,Mackay,-21.15,149.2,77.0,94,90,6.91,AU,2021-03-22 17:33:17
280,San Francisco,37.7749,-122.4194,55.0,66,40,19.57,US,2021-03-22 17:31:52
281,Leshukonskoye,64.8989,45.7622,22.06,95,100,7.07,RU,2021-03-22 17:35:19
282,Lata,40.1629,-8.3327,64.4,45,0,11.5,PT,2021-03-22 17:35:19
283,Faya,18.3851,42.4509,69.8,68,0,6.91,SA,2021-03-22 17:35:19
284,Makakilo City,21.3469,-158.0858,69.8,72,1,4.61,US,2021-03-22 17:35:19
285,Bongandanga,1.5,21.05,73.76,80,68,2.35,CD,2021-03-22 17:35:20
286,Los Llanos De Aridane,28.6585,-17.9182,64.4,59,75,10.36,ES,2021-03-22 17:35:20
287,Cabanas,22.9758,-82.9219,77.0,47,20,10.36,CU,2021-03-22 17:35:20
288,Yantikovo,55.8216,47.9104,28.4,93,100,11.18,RU,2021-03-22 17:35:21
289,Toba,34.4833,136.85,43.0,78,0,4.0,JP,2021-03-22 17:35:21
290,Cacu,-18.5567,-51.1308,83.59,63,32,7.2,BR,2021-03-22 17:35:21
291,Sorong,-0.8833,131.25,81.54,80,100,8.84,ID,2021-03-22 17:35:21
292,Jasper,37.2001,-94.3502,62.6,51,1,14.97,US,2021-03-22 17:35:22
293,Mar Del Plata,-38.0023,-57.5575,68.0,64,20,8.05,AR,2021-03-22 17:35:22
294,Olean,42.0776,-78.4297,62.01,23,1,6.02,US,2021-03-22 17:35:22
