City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
201,Sorong,ID,2021-03-24 20:04:24,-0.8833,131.25,77.68,87,100,3.38,overcast clouds
202,Sesquile,CO,2021-03-24 20:04:24,5.0475,-73.8008,53.6,94,75,11.5,mist
203,Wanning,CN,2021-03-24 20:04:25,18.8003,110.3967,71.67,92,72,4.14,broken clouds
204,Luganville,VU,2021-03-24 20:04:25,-15.5333,167.1667,78.66,86,100,5.84,overcast clouds
205,Tacuati,PY,2021-03-24 20:04:25,-23.45,-56.5833,82.18,62,62,1.66,broken clouds
206,Aktash,RU,2021-03-24 20:04:26,50.3,87.7333,-1.98,92,63,4.05,broken clouds
207,Prainha,BR,2021-03-24 20:04:26,-1.8,-53.48,78.01,92,72,4.32,light rain
208,Babol,IR,2021-03-24 20:04:26,36.5513,52.679,74.93,32,15,8.01,few clouds
209,Santa Catarina De Tepehuanes,MX,2021-03-24 20:04:27,25.35,-105.7333,67.78,6,73,29.95,broken clouds
210,Harper,LR,2021-03-24 20:04:27,4.375,-7.7169,79.12,87,22,7.65,few clouds
211,Omboue,GA,2021-03-24 20:04:27,-1.5746,9.2618,76.77,83,96,8.86,overcast clouds
212,Sohbatpur,PK,2021-03-24 20:04:27,28.5202,68.5434,74.28,40,0,7.34,clear sky
213,Cedar City,US,2021-03-24 20:04:28,37.6775,-113.0619,44.01,36,40,8.05,scattered clouds
214,Beloha,MG,2021-03-24 20:04:28,-25.1667,45.05,68.81,84,0,4.34,clear sky
215,Constitucion,CL,2021-03-24 20:04:28,-35.3333,-72.4167,63.43,63,20,17.31,few clouds
216,Pochutla,MX,2021-03-24 20:04:29,15.7432,-96.4661,89.01,42,1,23.02,clear sky
217,Buala,SB,2021-03-24 20:04:29,-8.145,159.5921,79.75,78,93,3.09,overcast clouds
218,Shellbrook,CA,2021-03-24 20:04:29,53.2168,-106.4011,32.0,69,75,18.41,broken clouds
219,Bismarck,US,2021-03-24 20:00:06,46.8083,-100.7837,39.99,56,90,3.44,overcast clouds
220,Wangaratta,AU,2021-03-24 20:04:30,-36.3667,146.3333,60.8,94,40,13.8,scattered clouds
221,College,US,2021-03-24 20:04:30,64.8569,-147.8028,19.99,73,90,3.53,light snow
222,Turbat,PK,2021-03-24 20:01:14,26.0023,63.044,74.3,42,0,3.06,clear sky
223,Buckeye,US,2021-03-24 20:04:30,33.3703,-112.5838,70.0,19,2,5.75,clear sky
224,Geraldton,AU,2021-03-24 20:04:12,-28.7667,114.6,59.0,72,0,6.91,clear sky
225,North Bend,US,2021-03-24 20:04:31,43.4065,-124.2243,46.99,93,90,6.91,overcast clouds
226,Pychas,RU,2021-03-24 20:04:31,56.5033,52.4409,28.0,70,61,1.01,broken clouds
227,Taoudenni,ML,2021-03-24 20:04:31,22.6783,-3.9836,74.17,10,0,11.43,clear sky
228,Yumen,CN,2021-03-24 20:04:31,40.2833,97.2,46.4,18,100,12.08,overcast clouds
229,Makakilo City,US,2021-03-24 20:04:32,21.3469,-158.0858,78.8,88,90,13.8,light rain
230,Bubaque,GW,2021-03-24 20:04:32,11.2833,-15.8333,78.04,67,15,18.5,few clouds
231,Aykhal,RU,2021-03-24 20:04:32,66.0,111.5,-12.82,100,100,7.11,overcast clouds
232,Tamale,GH,2021-03-24 20:04:33,9.4008,-0.8393,98.6,18,98,6.53,overcast clouds
233,Clyde River,CA,2021-03-24 20:04:33,70.4692,-68.5914,-9.4,77,40,13.8,snow
234,Klaksvik,FO,2021-03-24 20:04:33,62.2266,-6.589,39.2,81,75,2.3,broken clouds
235,Valdivia,CL,2021-03-24 20:02:19,-39.8142,-73.2459,66.2,39,0,5.75,clear sky
236,Severnoye,RU,2021-03-24 20:04:34,56.3491,78.3619,28.31,87,100,11.95,overcast clouds
237,Senanga,ZM,2021-03-24 20:04:34,-16.1167,23.2667,73.24,65,100,5.14,overcast clouds
238,Rondonopolis,BR,2021-03-24 20:03:27,-16.4708,-54.6356,89.53,45,100,5.21,overcast clouds
239,Port Blair,IN,2021-03-24 20:04:34,11.6667,92.75,81.41,78,14,5.03,few clouds
240,Gladstone,AU,2021-03-24 20:04:35,-23.85,151.25,73.4,83,12,6.91,few clouds
241,Cine,TR,2021-03-24 20:04:35,37.6117,28.0614,39.2,70,20,5.75,few clouds
242,Saint-Pierre,RE,2021-03-24 20:04:35,-21.3393,55.4781,78.8,83,0,4.61,clear sky
243,Moree,AU,2021-03-24 20:04:36,-29.4667,149.85,57.2,88,0,5.75,clear sky
244,Chokurdakh,RU,2021-03-24 20:04:36,70.6333,147.9167,-22.77,99,100,6.24,overcast clouds
245,Port Hardy,CA,2021-03-24 20:00:06,50.6996,-127.4199,44.6,93,90,8.05,light rain
246,Comodoro Rivadavia,AR,2021-03-24 20:00:01,-45.8667,-67.5,68.0,34,0,9.22,clear sky
247,Pandan,PH,2021-03-24 20:04:36,14.0453,124.1694,79.38,77,100,9.62,overcast clouds
248,Cayenne,GF,2021-03-24 20:04:37,4.9333,-52.3333,84.2,70,90,12.66,overcast clouds
249,Laramie,US,2021-03-24 20:03:31,41.3114,-105.5911,33.8,51,1,6.91,clear sky
